magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->after_load,0.058997,0.002950,20,"257,224",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->after_load->EVENT:abstract_search_result_load_before,0.000301,0.000015,20,"-5,096",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->after_load->EVENT:abstract_search_result_load_after,0.000250,0.000012,20,"-5,416",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:model_load_after,0.000226,0.000011,20,"-5,800",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after,0.333059,0.016653,20,"161,864",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory,0.332573,0.016629,20,"148,976",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:model_load_before,0.000272,0.000014,20,"-5,736",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:core_abstract_load_before,0.000156,0.000008,20,"-5,576",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:model_load_after,0.000237,0.000012,20,"-5,736",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:core_abstract_load_after,0.000148,0.000007,20,"-5,576",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:abstract_search_result_load_before,0.001692,0.000015,112,"-32,328",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:magento_catalog_api_data_productinterface_load_after->OBSERVER:legacy_model_load->EVENT:catalog_product_load_after->OBSERVER:inventory->EVENT:abstract_search_result_load_after,0.001343,0.000012,112,"-34,120",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:entity_manager_load_after,0.000244,0.000012,20,"-5,704",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:catalog_product_is_salable_before,0.000268,0.000013,20,"-5,144",0
magento->LAYOUT->layout_render->TEMPLATE:/srv/public_html/vendor/magento/module-catalog/view/frontend/templates/category/products.phtml->TEMPLATE:/srv/public_html/app/code/Milople/Requestforquote/view/frontend/templates/list.phtml->EVENT:catalog_product_is_salable_after,0.000170,0.000008,20,"-5,144",0
